OBJECTID,LAD17CD,LAD17NM,LAD17NMW,BNG_E,BNG_N,LONG,LAT,Shape_Leng,Shape__Area,Shape__Length
1,E06000001,Hartlepool, ,447157,531476,-1.27023,54.6762,59467.5022912,93652653.0114594,59467.5022911979
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.5447,38474.5329539,54102543.5603027,38474.5329539005
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00611,54.5675,90579.3046924,244760108.337631,90579.30469241
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30669,54.5569,102708.184772,204365245.731949,102708.184771662
5,E06000005,Darlington, ,428029,515649,-1.56835,54.5354,97801.4011172,197790116.454117,97801.4011172246
6,E06000006,Halton, ,354246,382146,-2.68853,53.3342,70153.7863316,79157237.771843,70153.7863316317
7,E06000007,Warrington, ,362744,388456,-2.56167,53.3916,102437.974875,180218886.780304,102437.974875409
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,58842.1863123,137215989.450027,58842.1863122683
9,E06000009,Blackpool, ,332763,436633,-3.02284,53.8216,32530.1131193,34833376.6945801,32530.1131192724
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.3038,53.7698,58261.1820487,70860653.1994476,58261.1820487291
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66203,53.8812,470098.614203,2406113600.06885,470098.614202552
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13927,53.5234,78718.0359859,191587755.220764,78718.0359858548
13,E06000013,North Lincolnshire, ,497798,410996,-0.5241,53.5864,226105.734978,846809933.731232,226105.734978242
14,E06000014,York, ,460864,452589,-1.07375,53.9658,94631.8108525,272388275.494797,94631.810852495
15,E06000015,Derby, ,435609,335375,-1.47189,52.9146,44251.8209188,78716686.7137756,44251.8209187625
16,E06000016,Leicester, ,458946,304594,-1.1304,52.6359,43322.0092037,73219225.4012604,43322.0092037278
17,E06000017,Rutland, ,492992,308655,-0.6263,52.6676,102442.907008,394335821.243088,102442.907007809
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.9542,53137.5934169,74611550.5349426,53137.5934168719
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.0815,307320.414839,2179872826.70732,307320.414839387
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.7142,103706.864564,289735502.153465,103706.864563929
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.0171,55229.1066976,92923613.2248077,55229.1066976149
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.356,119168.288471,350388516.986717,119168.288470602
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.4711,93258.5861101,109928065.623486,93258.586110078
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.3971,128457.007596,373719566.40852,128457.00759626
25,E06000025,South Gloucestershire, ,367559,183196,-2.46922,51.5467,124684.157513,496705833.94352,124684.157513496
26,E06000026,Plymouth, ,249944,58255,-4.11299,50.4049,72259.878439,80414876.3026829,72259.8784389912
27,E06000027,Torbay, ,289730,64608,-3.55523,50.4709,62292.2434042,63690122.5900049,62292.2434042162
28,E06000028,Bournemouth, ,410069,93928,-1.85864,50.7449,42002.8324402,45975921.3896828,42002.8324402097
29,E06000029,Poole, ,403393,93466,-1.95327,50.7408,62381.400596,65248109.0063553,62381.4005960201
30,E06000030,Swindon, ,418551,186564,-1.73367,51.5776,89035.8011162,230230865.957916,89035.8011162461
31,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921,103705.231837,344379822.061096,103705.231836907
32,E06000032,Luton, ,508606,222559,-0.42319,51.891,32658.7573746,43625821.8849564,32658.7573745844
33,E06000033,Southend-on-Sea, ,587776,186833,0.706906,51.5491,37885.324655,42061588.6804123,37885.3246549617
34,E06000034,Thurrock, ,562126,181586,0.334902,51.5099,82206.8201272,162330171.490189,82206.8201271659
35,E06000035,Medway, ,578207,175196,0.563173,51.4477,152428.517903,193203882.112869,152428.517903153
36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,59925.5727503,109196390.710358,59925.5727503003
37,E06000037,West Berkshire, ,450575,172095,-1.27364,51.4456,150996.65826,703013629.146149,150996.658259983
38,E06000038,Reading, ,470226,173154,-0.99071,51.453,33425.0781993,40472033.5933838,33425.0781993336
39,E06000039,Slough, ,498920,179246,-0.57617,51.5035,39910.6969739,32489520.0448608,39910.6969738622
40,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.4803,108783.338392,197250934.806862,108783.338392001
41,E06000041,Wokingham, ,476624,169902,-0.89935,51.423,80125.6204495,179707145.566437,80125.6204495459
42,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.0724,93568.553446,308550107.748619,93568.5534460123
43,E06000043,Brighton and Hove, ,530279,106849,-0.15079,50.8465,54031.4008412,83092493.448288,54031.4008412214
44,E06000044,Portsmouth, ,465607,101357,-1.07023,50.808,50212.1846613,40589217.1624794,50212.1846612571
45,E06000045,Southampton, ,442253,113608,-1.40025,50.9204,49460.7813982,50310046.8282394,49460.7813981661
46,E06000046,Isle of Wight, ,447186,85950,-1.33362,50.6713,153386.077902,380002878.804258,153386.077902366
47,E06000047,County Durham, ,410381,532242,-1.8405,54.6851,285374.035079,2232259319.23358,285374.035079475
48,E06000049,Cheshire East, ,380510,363462,-2.29299,53.1679,256709.563958,1168829443.08976,256709.56395818
49,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.1634,260942.666096,914511138.617638,260942.666095687
50,E06000051,Shropshire, ,350227,302960,-2.73667,52.6221,507067.933326,3196283326.20468,507067.933326032
51,E06000052,Cornwall, ,212501,64494,-4.64249,50.4502,878873.177666,3550347935.03633,878873.177666288
52,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.9233,80437.3168366,16342264.9128069,80437.3168365959
53,E06000054,Wiltshire, ,405209,158863,-1.92661,51.3288,367789.771963,3255509301.5564,367789.77196284
54,E06000055,Bedford, ,505721,256463,-0.45463,52.1963,122777.241674,475130655.211266,122777.241674208
55,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.999,213741.905925,716309104.960907,213741.90592519
56,E06000057,Northumberland, ,395323,600699,-2.07521,55.3004,519160.413961,5026978510.96892,519160.413960506
57,E07000004,Aylesbury Vale, ,477330,223021,-0.87746,51.9004,217172.821,903260608.302483,217172.821000109
58,E07000005,Chiltern, ,495432,198692,-0.62112,51.6789,79081.788789,197060319.659729,79081.7887889534
59,E07000006,South Bucks, ,498198,185455,-0.58484,51.5594,77130.9155098,141009970.131645,77130.915509779
60,E07000007,Wycombe, ,482477,197052,-0.80883,51.6662,103574.821355,324642970.048386,103574.821355375
61,E07000008,Cambridge, ,545420,257901,0.126436,52.2002,32837.286462,41281108.1912384,32837.2864619979
62,E07000009,East Cambridgeshire, ,555577,275765,0.283163,52.3579,219542.568456,652091308.279526,219542.568456317
63,E07000010,Fenland, ,536361,294959,0.009016,52.5354,179855.067235,543637271.52095,179855.067234582
64,E07000011,Huntingdonshire, ,521010,274271,-0.22467,52.3532,205460.110728,913212415.228683,205460.110728349
65,E07000012,South Cambridgeshire, ,543295,247586,0.091017,52.1081,236147.729471,902274929.836456,236147.729471101
66,E07000026,Allerdale, ,317516,532995,-3.28096,54.6852,276230.159048,1255875721.59152,276230.159047677
67,E07000027,Barrow-in-Furness, ,321750,474171,-3.19976,54.1574,97583.4347706,77183022.2635193,97583.4347706184
68,E07000028,Carlisle, ,348444,565195,-2.80705,54.9787,231198.244141,1038100513.82933,231198.244141195
69,E07000029,Copeland, ,310871,508741,-3.37664,54.4662,189967.401642,737734753.538971,189967.40164244
70,E07000030,Eden, ,359636,526396,-2.62678,54.6311,247832.947849,2158044677.35774,247832.947849443
71,E07000031,South Lakeland, ,349265,489554,-2.78108,54.2991,330220.74679,1552277820.5956,330220.746789677
72,E07000032,Amber Valley, ,436166,348084,-1.46219,53.0288,92060.3174972,265296237.245819,92060.3174972498
73,E07000033,Bolsover, ,448666,371548,-1.27228,53.2388,85387.3247279,160658252.160492,85387.3247279253
74,E07000034,Chesterfield, ,440049,373359,-1.40115,53.2557,45533.2694753,65928224.9655914,45533.2694752817
75,E07000035,Derbyshire Dales, ,419697,358493,-1.70711,53.1233,214807.851583,796585250.930458,214807.851582619
76,E07000036,Erewash, ,443721,338063,-1.3509,52.9382,63722.7230874,109041412.852173,63722.7230873524
77,E07000037,High Peak, ,410474,387660,-1.84398,53.3857,145819.891516,538585702.216125,145819.891515828
78,E07000038,North East Derbyshire, ,437369,362955,-1.44253,53.1624,138446.509837,275890602.974762,138446.509836563
79,E07000039,South Derbyshire, ,431434,325365,-1.53494,52.8249,142646.151273,337613291.708885,142646.151272783
80,E07000040,East Devon, ,313775,96055,-3.22381,50.7576,189665.033948,814788771.52182,189665.033947782
81,E07000041,Exeter, ,293236,92003,-3.51372,50.7178,41630.3316153,46993140.3062916,41630.3316153099
82,E07000042,Mid Devon, ,288064,108911,-3.59212,50.8688,218022.555402,911669760.71443,218022.555402261
83,E07000043,North Devon, ,265110,132524,-3.92691,51.0761,242528.378364,1086748832.38392,242528.378363635
84,E07000044,South Hams, ,270677,54033,-3.81994,50.3719,366271.428402,885700372.091475,366271.428402482
85,E07000045,Teignbridge, ,283069,80251,-3.65396,50.6102,163603.769448,673888522.18322,163603.76944789
